"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Bath, KENTUCKY",12829,48260,30,81,45,3.9,5.2,74.7,,,24,15,37,37,32,7.3,39,25,8,5.0,6.2,125,33.6,26,6389:1,12829:1,347:1,4108,37,38,10,39,39,,81,Y,0.46,35,72,10,6,70.6,643,116,,16,21,12,,56,8,5,916:1,25.3,17.5,100.0
"Bell, KENTUCKY",23568,33923,40,78,51,9.6,5.0,70.8,21,,29,13,48,89,38,5.6,46,31,10,6.0,6.6,137,26.9,28,1988:1,1386:1,2357:1,4597,26,28,16,41,42,,74,Y,0.29,46,63,12,31,67.7,888,89,,19,23,14,89,52,9,4,524:1,21.6,19.8,59.3
"Boone, KENTUCKY",139093,90265,8,94,71,5.4,3.1,78.5,14,2,15,18,15,92,23,8.4,35,16,7,3.9,4.7,74,19.7,24,1696:1,1464:1,706:1,3287,46,54,10,32,34,4,92,Y,0.06,41,76,7,82,78.3,358,36,5,11,16,9,97,35,5,3,1062:1,25.1,15.0,11.5
"Bourbon, KENTUCKY",20093,56879,23,85,58,9.4,3.5,53.8,11,,21,14,27,52,30,7.1,37,22,9,4.6,5.7,110,32.8,22,1556:1,1340:1,628:1,3545,44,49,13,33,38,,82,Y,0.22,34,65,15,40,74.1,562,,,14,19,11,76,63,10,5,2009:1,22.5,20.5,44.4
"Boyd, KENTUCKY",48110,55397,23,89,64,15.2,5.1,93.8,18,3,21,13,31,63,32,6.2,40,23,10,5.0,6.2,135,23.1,35,998:1,1375:1,127:1,5010,38,46,11,25,39,12,86,N,0,45,69,12,61,72.5,634,39,7,15,20,11,189,84,7,4,249:1,21.3,20.3,23.8
"Boyle, KENTUCKY",30904,57975,18,90,64,13.3,3.9,107.1,18,,20,15,20,74,28,7.6,40,20,9,4.4,5.4,98,21.7,39,1708:1,1236:1,364:1,3489,38,37,13,29,39,,84,Y,0.14,45,69,15,58,75.1,513,56,,13,18,11,91,39,7,4,515:1,20.4,19.5,35.4
"Bracken, KENTUCKY",8452,58301,21,88,54,11.8,4.3,88.1,32,,23,15,25,0,32,8.1,39,24,8,4.9,5.9,152,18.9,25,8439:1,2817:1,8452:1,4489,45,37,12,54,38,,81,Y,0.68,28,80,8,3,71.5,633,,,15,20,11,71,64,8,5,1690:1,23.4,18.1,100.0
"Breathitt, KENTUCKY",13351,36300,42,79,50,3.7,7.3,51.6,22,,28,13,52,22,36,4.8,39,28,11,5.6,6.3,144,17.2,27,2259:1,6676:1,405:1,7867,24,30,15,40,40,,75,Y,0.48,38,73,10,9,67.5,917,,,18,22,13,87,59,8,3,494:1,20.8,19.0,100.0
"Breckinridge, KENTUCKY",20943,52400,25,85,49,12.1,4.6,79.1,16,8,23,14,32,29,31,7.6,42,25,8,4.9,6.2,118,17.3,37,4130:1,6981:1,1102:1,5064,38,36,10,50,39,,77,Y,0.74,27,82,8,0,73.9,543,69,,15,20,11,138,26,8,5,1745:1,22.5,20.3,100.0
"Bullitt, KENTUCKY",83836,77192,12,89,60,6.3,4.0,80.8,21,4,19,16,16,70,29,7.8,38,20,8,4.4,5.5,103,26.4,29,5528:1,2994:1,953:1,3436,45,51,10,49,38,9,89,Y,0.16,41,83,9,43,76.9,428,45,5,13,19,10,64,46,6,3,1823:1,21.0,17.6,29.5
